SC NETWORK_ID LAT LON
36 WIB0234 41.02619444 28.68836111
36 WIS0239 41.05308889 28.79303333
36 WIS0297 41.00414167 28.85750278
36 WIS1010 40.9596 28.82446111
36 WIS1805 40.97861111 28.70602778
36 WIS5168 41.102366700000005 28.862755600000003
37 WED2254 41.6667333 26.5768778
37 WIS0237 41.06041667 28.78772778
37 WIS0762 40.96223056 28.82544722
37 WIS1671 41.00053889 28.792975
37 WIS5194 41.0535 28.8494
37 WIS5345 41.0965556 28.869638899999998
38 WED2254 41.6667333 26.5768778
38 WIS0310 40.98743889 28.77168056
38 WIS1032 40.9825 28.86083333
38 WIS5108 41.01003056 28.82830278
38 WIS5345 41.0965556 28.869638899999998
39 WED2255 41.67715 26.56395
39 WIS0237 41.06041667 28.78772778
39 WIS0297 41.00414167 28.85750278
39 WIS0762 40.96223056 28.82544722
39 WIS5484 41.1030833 28.855944399999995
40 WED0306 41.641027799999996 26.6235833
40 WIS0341 41.1026667 28.9042778
40 WIS5249 41.09347222 28.80611111
40 WIS5448 40.97645 28.85793056
41 WED2260 41.6585806 26.513119399999997
41 WIB9023 41.00502222 28.81192222
41 WIS1217 40.98641389 28.78587778
41 WIS5249 41.09347222 28.80611111
42 WED2260 41.6585806 26.513119399999997
42 WIB1285 41.07586111 28.80910833
42 WIB9058 41.02906111 28.80991944
42 WIS0328 41.00838889 28.79516667
42 WIS0396 40.98605556 28.71084444
43 WED0069 41.3878111 26.800161100000004
43 WED2260 41.6585806 26.513119399999997
43 WIB9051 41.0804833 28.877441700000002
43 WIB9177 40.99304722 28.85316389
43 WIS0248 41.00568611 28.81825278
43 WIS0396 40.98605556 28.71084444
43 WIS0522 41.04486111 28.82088889
43 WIS1769 41.09765 28.80517778
44 WED2261 41.6844 26.541288899999998
44 WIS0074 41.0892806 28.9117222
44 WIS0328 41.00838889 28.79516667
44 WIS0396 40.98605556 28.71084444
44 WIS1668 40.99955 28.76553889
45 WED2261 41.6844 26.541288899999998
45 WIS1033 41.098555600000005 28.906111100000004
45 WIS1153 41.04255556 28.81463889
46 WED2261 41.6844 26.541288899999998
46 WIS0341 41.1026667 28.9042778
46 WIS0582 40.98955278 28.70466389
46 WIS1217 40.98641389 28.78587778
46 WIS5249 41.09347222 28.80611111
46 WIS5559 41.0349 28.81648056
47 WED0306 41.641027799999996 26.6235833
47 WIB0718 41.06065 28.80678056
47 WIS1217 40.98641389 28.78587778
47 WIS1776 40.97844444 28.8505
48 WED1701 40.8741667 26.6365
48 WIS0248 41.00568611 28.81825278
48 WIS0348 41.04036111 28.77368889
48 WIS0479 40.99338333 28.70987222
48 WIS0492 40.97245833 28.80313889
48 WIS5539 41.0535222 28.842311100000003
48 WIS5760 41.04763056 28.80914167
49 WIB0789 40.99251389 28.84112778
49 WIB9023 41.00502222 28.81192222
49 WIS0343 41.092722200000004 28.8796833
49 WIS0348 41.04036111 28.77368889
49 WIS0442 40.99011944 28.77918889
49 WIS5755 40.99421944 28.70626667
50 WIS0343 41.092722200000004 28.8796833
50 WIS0442 40.99011944 28.77918889
50 WIS0506 41.04038889 28.80555556
50 WIS5093 41.1035 28.7845
50 WIS5440 41.0025 28.8425
51 WIS0442 40.99011944 28.77918889
51 WIS0506 41.04038889 28.80555556
51 WIS5093 41.1035 28.7845
51 WIS5755 40.99421944 28.70626667
52 WED1020 40.60611110000001 26.396455600000003
52 WIB9020 40.99056389 28.80068889
52 WIS0479 40.99338333 28.70987222
52 WIS1257 41.092388899999996 28.863861100000005
52 WIS1260 41.03218889 28.76795
53 WIB0789 40.99251389 28.84112778
53 WIS0222 41.0562861 28.8459972
53 WIS5093 41.1035 28.7845
53 WIS5176 41.01006389 28.80736111
54 WIB9020 40.99056389 28.80068889
54 WIS0413 41.0872028 28.8685583
54 WIS1260 41.03218889 28.76795
55 WED1700 41.65515 26.586538899999997
55 WIB0307 41.10340833 28.81174167
55 WIS0348 41.04036111 28.77368889
55 WIS0413 41.0872028 28.8685583
55 WIS0479 40.99338333 28.70987222
56 WIS0127 40.97888611 28.855925
56 WIS0622 40.9711 28.71791111
56 WIS1254 41.053000000000004 28.81811111
56 WIS1669 41.00925 28.7904
56 WIS1996 41.10786111 28.79321389
57 WIS0127 40.97888611 28.855925
57 WIS0332 41.0764833 28.888536100000003
57 WIS0444 41.00285 28.7878
57 WIS0522 41.04486111 28.82088889
57 WIS1190 40.99316944 28.70081111
57 WIS1996 41.10786111 28.79321389
58 WED1020 40.60611110000001 26.396455600000003
58 WIB0840 41.02929444 28.78955556
58 WIS0422 40.98333333 28.85356944
58 WIS0622 40.9711 28.71791111
58 WIS0850 41.09516667 28.80997222
59 WED2318 41.657238899999996 26.5831
59 WIB0307 41.10340833 28.81174167
59 WIS0444 41.00285 28.7878
59 WIS0930 40.99561111 28.84958333
59 WIS1190 40.99316944 28.70081111
60 WIB0257 41.00588889 28.84926667
60 WIS0332 41.0764833 28.888536100000003
60 WIS0444 41.00285 28.7878
60 WIS0522 41.04486111 28.82088889
60 WIS0850 41.09516667 28.80997222
60 WIS1190 40.99316944 28.70081111
61 WIS0332 41.0764833 28.888536100000003
61 WIS0523 40.9925 28.84730556
61 WIS5277 41.07770278 28.78644722
62 WIB1319 41.03083333 28.80422222
62 WIS0097 41.1122222 28.858055600000004
62 WIS1338 40.97425 28.73077778
62 WIS1759 40.98796667 28.81761667
62 WIS1996 41.10786111 28.79321389
63 WIS0304 41.074138899999994 28.894069399999996
63 WIS0422 40.98333333 28.85356944
63 WIS0622 40.9711 28.71791111
63 WIS0850 41.09516667 28.80997222
63 WIS1669 41.00925 28.7904
64 WIS0515 40.97272222 28.80438056
64 WIS0605 41.05208611 28.79770833
64 WIS1188 41.0875 28.880277799999998
64 WIS5079 40.98547222 28.73147222
65 WIS0581 40.97989444 28.74070833
65 WIS0614 41.0041 28.84705278
65 WIS1188 41.0875 28.880277799999998
66 WIS0414 41.087469399999996 28.883463899999995
66 WIS0581 40.97989444 28.74070833
66 WIS5635 41.05577778 28.79738889
67 WIS0515 40.97272222 28.80438056
67 WIS5079 40.98547222 28.73147222
67 WIS5114 41.0738611 28.902138899999997
68 WIB0004 41.04801111 28.78621667
68 WIB9069 41.0633667 28.843455600000006
68 WIS0581 40.97989444 28.74070833
68 WIS1082 40.99487222 28.81646944
68 WIS1188 41.0875 28.880277799999998
69 WED2270 40.8582 26.630380600000002
69 WIS0414 41.087469399999996 28.883463899999995
69 WIS0584 40.97584722 28.732125
69 WIS5635 41.05577778 28.79738889
70 WIS0414 41.087469399999996 28.883463899999995
70 WIS5079 40.98547222 28.73147222
70 WIS5885 40.97760278 28.82014722
71 WIS5092 41.11346389 28.79088889
71 WIS5635 41.05577778 28.79738889
71 WIS5874 41.01116667 28.81583333
72 WIB9058 41.02906111 28.80991944
72 WIS0355 41.00652778 28.84325
72 WIS0836 41.0555583 28.8643222
72 WIS1995 41.07819444 28.79677778
73 WIB0840 41.02929444 28.78955556
73 WIS1527 41.0505583 28.842561100000005
74 WED0036 41.4554694 26.830080600000002
74 WIB1319 41.03083333 28.80422222
74 WIS1189 41.0737 28.80153611
74 WIS1936 40.99619444 28.84676667
74 WIS5046 40.97240278 28.73564722
75 WIB1491 41.019283 28.788969
75 WIS0354 41.081888899999996 28.91625
75 WIS1995 41.07819444 28.79677778
75 WIS5046 40.97240278 28.73564722
76 WIB0237 40.97705556 28.74233333
76 WIS1189 41.0737 28.80153611
76 WIS1648 41.0567778 28.861283299999997
76 WIS5695 41.01087778 28.69953611
77 WIB0234 41.02619444 28.68836111
77 WIS0275 41.055 28.875413899999998
77 WIS1995 41.07819444 28.79677778
77 WIS5641 41.00538611 28.80241944
78 WIB0581 41.06239722 28.78232222
78 WIS0305 41.0821611 28.903213899999997
78 WIS5366 40.96872222 28.80044444
78 WIS5504 41.02852778 28.68863889
79 WED0089 41.6356694 26.855480600000003
79 WIS0275 41.055 28.875413899999998
79 WIS0589 41.02481944 28.68545
79 WIS1189 41.0737 28.80153611
79 WIS1497 40.96519444 28.79825
79 WIS5546 41.02071389 28.82700278
80 WED0089 41.6356694 26.855480600000003
80 WIB0581 41.06239722 28.78232222
80 WIS0470 41.07785 28.88305
80 WIS1269 41.00242778 28.78217778
80 WIS5013 41.11711111 28.80211111
81 WIB1464 41.0723 28.887919399999998
81 WIS0298 40.9987 28.84893056
81 WIS0766 40.98761667 28.72186944
81 WIS0808 41.05877778 28.80361111
81 WIS1968 41.11333333 28.80766667
82 WED0089 41.6356694 26.855480600000003
82 WIS0506 41.04038889 28.80555556
82 WIS0766 40.98761667 28.72186944
82 WIS1466 41.00527778 28.82694444
82 WIS1683 40.96219444 28.84133889
82 WIS5013 41.11711111 28.80211111
83 WED0018 41.26675 26.687669399999997
83 WIB0308 41.07480833 28.80401389
83 WIB9069 41.0633667 28.843455600000006
83 WIS5067 40.97222222 28.72327778
83 WIS5727 40.99681944 28.77163333
84 WIS0589 41.02481944 28.68545
84 WIS1100 41.0545 28.8015
84 WIS1968 41.11333333 28.80766667
84 WIS5885 40.97760278 28.82014722
85 WED0036 41.4554694 26.830080600000002
85 WIS0852 40.99042222 28.79981111
85 WIS1100 41.0545 28.8015
85 WIS5113 41.07 28.880033299999997
86 WED2306 40.6145833 26.473666700000003
86 WIS0852 40.99042222 28.79981111
86 WIS1968 41.11333333 28.80766667
86 WIS5113 41.07 28.880033299999997
87 WED0085 41.5357194 26.855361100000003
87 WIS0470 41.07785 28.88305
87 WIS0852 40.99042222 28.79981111
87 WIS1670 41.03897222 28.80030556
87 WIS5013 41.11711111 28.80211111
88 WED2301 40.8649167 26.6299722
88 WIB0596 41.03393056 28.77431944
88 WIB9032 41.02501111 28.81504722
